t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.039,557.127896466836,-155.341657054052,-506.324377884242,-232.437340764554,495.16903129155,-150.280340489979,-430.035219839732,-245.483358392387,579.402001877217,-146.74261160496,-484.504903114692,-317.744675230207
0.04,525.981868875954,-155.262868346649,-477.716289219621,-220.100144026479,509.94930127958,-146.512132609641,-425.299083027076,-281.369827543503,594.207584515534,-150.575624988743,-517.557711758632,-291.918941651538
0.041,502.008192706768,-153.106648556904,-447.71601859655,-227.073979655902,548.946394903073,-145.176090653508,-450.636123385349,-313.479231811782,579.503088015122,-153.949090280162,-520.62799675263,-254.500133627481
0.042,495.930517877457,-149.382910589493,-426.792923098024,-252.57648219034,585.549663225247,-147.504733875015,-493.873569454976,-314.57480111573,550.087296406387,-155.50888169093,-500.593490891587,-228.039888056152
0.043,517.07670064268,-145.911700266308,-428.229895424681,-289.805919560119,593.052427089885,-151.440075639197,-520.888374080511,-283.525101225561,519.670951933182,-154.957989523887,-470.820672036011,-219.967709145452
0.044,558.576124877318,-145.41471083211,-459.865745586149,-317.065897440037,573.646885654548,-154.475114904175,-517.657926625858,-247.186205971492,498.72704224678,-152.378502258867,-441.886964259834,-231.224076353329
0.045,590.124512471011,-148.352257840815,-502.367109870329,-309.635636094557,543.043408538349,-155.571179030511,-494.427852213926,-224.582373556057,498.161904698748,-148.495398119576,-424.731941054056,-260.322994646147
0.046,590.624448904381,-152.243706393879,-522.665125005009,-275.060732833864,513.92186904394,-154.550533457446,-464.053272060089,-220.839869978093,525.356235499386,-145.466290170056,-432.784685446792,-297.819727722674
0.047,567.432875887694,-154.8878673502,-513.798526069091,-240.813503042101,496.498032721128,-151.577734419948,-436.651984601148,-236.316188272892,567.641910296161,-145.816909921009,-469.579742705781,-318.923507388602
0.048,536.013053656219,-155.522377844412,-487.837897942076,-222.090474855004,501.701649259395,-147.629842549329,-423.740673073687,-268.604517558168,593.01665597299,-149.223916743101,-509.504232667641,-303.43729361294
0.049,508.286948031966,-154.03920521408,-456.997641428209,-222.505679183036,534.302723714513,-145.176027902896,-438.614638743344,-305.117353241,586.78167330145,-152.994465926303,-522.800566401867,-266.443802503149
0.05,495.261436253681,-150.731169530688,-432.034069618653,-242.137260513131,575.705155338825,-146.433166725863,-479.701393867449,-318.312737108221,560.377099146056,-155.231915514466,-508.828562002369,-234.767944442912
0.051,508.352822154919,-147.021387792851,-426.443871999365,-276.709623661808,593.430264147986,-150.334561379181,-515.649491134041,-293.709177078199,529.450286662423,-155.380854926624,-481.321646248395,-220.560828117
0.052,547.631320533784,-145.786995289977,-452.865349221209,-307.917259510292,579.428433442723,-154.035810167997,-520.945478803991,-253.679162714576,505.769195000596,-153.462000398915,-452.480461607768,-225.973251679866
0.053,585.359411293897,-148.5594352058,-499.417945940929,-305.331550388231,548.873766157835,-155.91135852337,-501.075153624609,-224.022547071406,500.3214947579,-150.021102580542,-433.38323171185,-250.001145172922
0.054,591.085982917134,-153.108349889726,-527.167986827918,-267.35099189065,517.175465657465,-155.607023860685,-471.009433741207,-213.589736656055,522.683249831452,-146.890954972277,-437.816474920228,-285.507467402859
0.055,568.062909326285,-156.577410269209,-521.253374005602,-225.810515787062,495.30247763194,-153.256170037862,-442.318687873801,-222.887242133633,566.011917807405,-146.898153665068,-474.148816493097,-309.115497699827
0.056,534.719405673106,-157.923859224814,-495.516569338664,-200.968087800627,493.834969945998,-149.60181954127,-425.947347677093,-249.883642018469,597.185328646844,-150.539210487499,-519.964776733015,-293.712355388779
0.057,504.260022459165,-157.11686946536,-464.574725668292,-196.082876663795,520.291818290081,-146.782658188803,-435.275377241031,-285.024423773257,593.705138956962,-155.006266037014,-538.107027756392,-250.851786326283
